Geozone,LAT,LON,M1,F1,M2,F2,M3,F3,M4,F4
Westpunt,12.3699,-69.1356,68,64,236,238,57,75,361,377
Lagun,12.3554,-69.141,29,24,92,116,27,33,148,173
Christoffel,12.3318,-69.1046,4,5,10,15,3,3,17,23
Flip,12.3065,-69.1033,50,61,180,220,39,51,269,332
Tera Pretu,12.2984,-69.1422,39,24,72,94,23,19,134,137
Lelienberg,12.3044,-69.0877,119,82,351,353,74,122,544,557
Soto,12.2793,-69.1178,273,230,675,787,108,160,1056,1177
Pannekoek,12.2508,-69.0909,32,23,109,131,36,34,177,188
Wacao,12.287,-69.062,18,2,29,42,6,10,53,54
Barber,12.2733,-69.074,265,263,654,872,158,200,1077,1335
St. Willibrordus,12.2176,-69.0607,50,63,179,201,42,53,271,317
Tera Cora,12.2215,-69.0278,519,447,1383,1705,153,181,2055,2333
Meiberg,12.1921,-69.0168,0,0,0,0,0,0,0,0
Souax,12.1807,-68.9752,593,526,1689,1924,171,211,2453,2661
St. Michiel,12.1568,-68.9867,589,565,1755,2242,259,322,2603,3129
Piscadera Baai,12.1323,-68.966,90,82,229,289,40,57,359,428
Hato,12.2127,-69.0009,8,5,13,16,1,2,22,23
Fortuna,12.175,-68.9337,424,445,864,1231,77,146,1365,1822
Rancho,12.1686,-68.8996,394,408,1095,1296,79,112,1568,1816
Ronde Klip,12.1568,-68.8589,78,74,218,271,35,39,331,384
Brievengat,12.1558,-68.8868,431,442,1230,1722,348,522,2009,2686
Maria Maai,12.1552,-68.9103,116,133,335,455,100,127,551,715
Muizenberg,12.1644,-68.9187,288,247,755,1152,117,191,1160,1590
Stenen Koraal,12.1634,-68.9358,425,353,1311,1576,268,318,2004,2247
Mahuma,12.177,-68.9531,617,630,1870,2320,374,431,2861,3381
Groot Piscadera,12.1531,-68.9626,269,252,847,1024,189,241,1305,1517
Paradijs,12.1457,-68.9577,249,245,684,801,108,158,1041,1204
Wanapa,12.1524,-68.944,363,345,1266,1527,308,430,1937,2302
Buena Vista,12.1447,-68.935,435,425,1361,1699,300,467,2096,2591
Kanga/Dein,12.1537,-68.9335,229,201,717,806,122,186,1068,1193
Suffisant,12.1514,-68.9229,313,291,1018,1236,266,379,1597,1906
Mon Repos,12.1436,-68.8983,306,282,957,1214,232,326,1495,1822
Bonam,12.1432,-68.8807,828,784,2509,2996,420,564,3757,4344
Rosendaal,12.1382,-68.9462,233,185,576,718,71,140,880,1043
Asiento,12.1315,-68.9268,0,0,0,0,0,0,0,0
Groot Kwartier,12.1371,-68.9114,234,220,836,867,187,267,1257,1354
Mahaai,12.1305,-68.8969,251,254,747,952,225,347,1223,1553
Sta. Rosa,12.1288,-68.8706,604,549,1480,1985,273,307,2357,2841
Kwarchi,12.1231,-68.8581,228,224,706,802,133,162,1067,1188
Montaña Abou,12.1125,-68.8646,457,435,1264,1823,164,239,1885,2497
Labadera,12.1243,-68.8808,228,231,761,975,199,233,1188,1439
Seru Lora,12.1141,-68.8862,281,265,821,969,221,261,1323,1495
Zeelandia,12.1186,-68.9059,45,59,160,203,58,160,263,422
Nieuwe Haven,12.1186,-68.9123,0,0,0,0,0,0,0,0
Dok,12.1223,-68.9158,0,0,0,0,0,0,0,0
Schottegat,12.1172,-68.9308,0,0,0,0,0,0,0,0
Wishi,12.1289,-68.9533,183,208,622,774,88,167,893,1149
Habaai,12.12,-68.9503,94,90,268,373,130,272,492,735
Mundo Nobo,12.116,-68.9569,216,238,763,959,179,255,1158,1452
Domi,12.1163,-68.9441,115,91,350,456,82,153,547,700
Otrobanda,12.111,-68.937,111,90,394,503,104,167,609,760
Punda,12.1041,-68.9323,3,6,45,23,11,11,59,40
Scharloo,12.1069,-68.9289,39,45,139,208,46,46,224,299
Parera,12.9261,-68.9261,16,14,71,79,29,38,116,131
Berg Altena,12.1032,-68.9187,266,257,765,1025,185,262,1216,1544
Saliña,12.1002,-68.9043,226,221,760,916,174,241,1160,1378
Dominguito,12.1008,-68.8885,271,247,922,1127,224,310,1417,1684
Rooi Santu,12.099,-68.8643,298,254,895,1073,114,157,1307,1484
Koraal Specht,12.0905,-68.8936,246,246,1137,936,181,318,1564,1500
Steenrijk,12.0973,-68.9121,360,307,1086,1348,223,428,1669,2083
Koraal Partier,12.1485,-68.8342,426,414,1224,1511,182,201,1832,2126
Montaña Rey,12.1053,-68.8425,515,518,1571,1985,297,421,2383,2924
Seru Grandi,12.0868,-68.8206,243,202,707,841,118,166,1068,1209
Spaanse Water,12.0736,-68.8383,362,326,971,1137,167,156,1500,1619
Oostpunt,12.0924,-68.8,69,45,178,209,29,25,276,279
